model,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_precision,validation_weighted_recall,validation_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,cv_weighted_f1,best_params
hist_gradient_boosting,0.9995896228098348,0.9995913497059241,0.9995120078837951,0.9995913497059241,0.9995516586096463,0.9995896894647828,0.9995896228098348,0.999589639104482,0.999536095350248,0.999527197062775,0.9994592026888824,0.999527197062775,0.9994931850473575,0.9995361519513973,0.999536095350248,0.999536111137703,,
random_forest,0.9991792456196695,0.9989783906129648,0.9992280520223132,0.9989783906129648,0.9991030218539636,0.9991793768838332,0.9991792456196695,0.9991791429802495,0.9992506155657852,0.999079103626136,0.9992833150040757,0.999079103626136,0.9991810758036599,0.9992506875645484,0.9992506155657852,0.9992505389238726,,
extra_trees,0.9989651357813225,0.998823908206073,0.9989145594181688,0.998823908206073,0.9988692074558224,0.9989650862330853,0.9989651357813225,0.9989650887691561,0.9988937658352068,0.998689219428546,0.9988932712750836,0.998689219428546,0.998791111900641,0.998893764746267,0.9988937658352068,0.9988936526971453,,
logistic_regression,0.9633693751561218,0.9674744765134866,0.9549364021608138,0.9674744765134866,0.9605451165551995,0.9649987385211652,0.9633693751561218,0.9636181811322351,0.9616743389358741,0.9658890436571796,0.9530026087407962,0.9658890436571796,0.958740147959511,0.9634217136459737,0.9616743389358741,0.9619429039871028,,
dummy_most_frequent,0.6455590051029512,0.5,0.3227795025514756,0.5,0.3923037722142106,0.41674642906951215,0.6455590051029512,0.506510465777481,0.6455411626164222,0.5,0.3227705813082111,0.5,0.39229718300696115,0.41672339263216207,0.6455411626164222,0.5064879592189221,,
